employee_id,message,Generated on_notifications,strengths,areas_of_improvement,Generated on_reviews,text,Generated on
25,Your behavior in Q1 was below expectations.,29-07-2024 01:20,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 03:43,Your behavior earlier this year was found unsatisfactory.,29-08-2024 07:28
26,Your behavior in Q1 was below expectations.,07-10-2024 06:23,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 04:15,Your behavior earlier this year was found unsatisfactory.,29-08-2024 03:54
27,Your behavior in Q1 was below expectations.,06-08-2024 01:59,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 06:06,Your behavior earlier this year was found unsatisfactory.,29-08-2024 06:03
28,Your behavior in Q1 was below expectations.,21-09-2024 08:39,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 05:58,Your behavior earlier this year was found unsatisfactory.,29-08-2024 03:54
29,This is a final warning regarding policy violations.,07-06-2025 07:54,Needs immediate improvement in punctuality.,Improve attendance and team communication.,10-06-2025 01:04,This letter serves as a disciplinary warning effective immediately.,18-06-2025 06:27
30,Well done on your achievements last year.,26-09-2024 01:57,Completed major goals on time last year.,Documentation could be improved.,18-09-2024 06:39,We appreciate your contribution to last year's project.,29-08-2024 03:34
31,Please note the updated policy guidelines.,12-10-2024 09:21,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 04:45,This letter confirms your shift change request.,29-08-2024 07:07
32,Please note the updated policy guidelines.,10-10-2024 06:11,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 04:40,This letter confirms your shift change request.,29-08-2024 02:36
33,"Not bad, but improvements are needed.",20-08-2024 04:07,"Displays effort, but results are inconsistent.",Communication needs slight improvement.,18-09-2024 01:13,This is to inform you of policy updates relevant to your role.,29-08-2024 07:36
34,This is a final warning regarding policy violations.,24-06-2025 04:04,Needs immediate improvement in punctuality.,Improve attendance and team communication.,10-06-2025 04:18,This letter serves as a disciplinary warning effective immediately.,18-06-2025 01:30
35,Please note the updated policy guidelines.,26-06-2024 06:52,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 07:46,This letter confirms your shift change request.,29-08-2024 06:08
36,Well done on your achievements last year.,31-08-2024 01:49,Completed major goals on time last year.,Documentation could be improved.,18-09-2024 02:46,We appreciate your contribution to last year's project.,29-08-2024 05:33
37,Your behavior in Q1 was below expectations.,22-10-2024 04:12,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 05:41,Your behavior earlier this year was found unsatisfactory.,29-08-2024 04:48
38,"Not bad, but improvements are needed.",04-07-2024 08:50,"Displays effort, but results are inconsistent.",Communication needs slight improvement.,18-09-2024 01:31,This is to inform you of policy updates relevant to your role.,29-08-2024 03:10
39,Congratulations! Excellent performance in Q2 delivery.,17-06-2025 08:15,Shows excellent leadership and collaboration.,Could mentor junior team members.,10-06-2025 02:30,This letter confirms your salary increment effective this month.,18-06-2025 08:16
40,"Not bad, but improvements are needed.",04-10-2024 01:16,"Displays effort, but results are inconsistent.",Communication needs slight improvement.,18-09-2024 00:38,This is to inform you of policy updates relevant to your role.,29-08-2024 08:21
41,"Not bad, but improvements are needed.",10-09-2024 05:11,"Displays effort, but results are inconsistent.",Communication needs slight improvement.,18-09-2024 03:46,This is to inform you of policy updates relevant to your role.,29-08-2024 00:33
42,Your behavior in Q1 was below expectations.,16-09-2024 02:37,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 06:34,Your behavior earlier this year was found unsatisfactory.,29-08-2024 09:16
43,Please note the updated policy guidelines.,08-11-2024 03:25,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 03:44,This letter confirms your shift change request.,29-08-2024 08:41
44,This is a final warning regarding policy violations.,16-06-2025 07:11,Needs immediate improvement in punctuality.,Improve attendance and team communication.,10-06-2025 04:33,This letter serves as a disciplinary warning effective immediately.,18-06-2025 08:31
45,Well done on your achievements last year.,24-09-2024 04:19,Completed major goals on time last year.,Documentation could be improved.,18-09-2024 00:48,We appreciate your contribution to last year's project.,29-08-2024 04:24
46,This is a final warning regarding policy violations.,01-06-2025 06:00,Needs immediate improvement in punctuality.,Improve attendance and team communication.,10-06-2025 08:19,This letter serves as a disciplinary warning effective immediately.,18-06-2025 02:34
47,Please note the updated policy guidelines.,28-06-2024 04:41,Satisfactory technical ability.,Consider taking more initiative.,18-09-2024 08:23,This letter confirms your shift change request.,29-08-2024 06:16
48,This is a final warning regarding policy violations.,16-06-2025 01:52,Needs immediate improvement in punctuality.,Improve attendance and team communication.,10-06-2025 00:50,This letter serves as a disciplinary warning effective immediately.,18-06-2025 00:38
49,Your behavior in Q1 was below expectations.,21-07-2024 08:10,Missed deadlines and lacked initiative previously.,Must address accountability issues.,18-09-2024 06:52,Your behavior earlier this year was found unsatisfactory.,29-08-2024 03:01
50,"Not bad, but improvements are needed.",14-10-2024 08:44,"Displays effort, but results are inconsistent.",Communication needs slight improvement.,18-09-2024 06:08,This is to inform you of policy updates relevant to your role.,29-08-2024 07:02
