rating,net_payable,work_hours,leave_days,risk_score,promotion_recommendations,predicted_growth_years,mood_index
2,28885,503,4,0.43,1,2,0.53
2,51992,495,4,0.79,0,1,0.46
5,26007,508,3,0.35,1,4,0.91
1,67027,487,3,0.8,1,5,0.71
1,34168,497,2,0.52,0,3,0.45
3,38672,483,4,0.34,1,2,0.71
1,67042,508,3,0.59,1,5,0.63
5,74628,486,4,0.64,1,4,1.0
4,33894,491,2,0.36,0,2,0.73
1,64317,508,2,0.48,0,2,0.48
2,61422,483,3,0.6,0,4,0.68
4,32122,482,4,0.62,0,3,0.63
5,30342,481,2,0.42,0,1,0.88
3,51405,504,4,0.27,1,3,0.79
1,46159,506,2,0.54,0,3,0.32
3,27660,499,2,0.67,1,1,0.65
5,46367,503,4,0.69,0,4,0.72
2,33666,480,4,0.38,0,4,0.51
3,70642,493,2,0.56,0,5,0.89
5,51531,496,2,0.49,0,5,0.95
1,31433,498,3,0.72,1,2,0.66
2,53773,509,4,0.51,0,2,0.38
3,27737,503,2,0.49,0,2,0.48
3,73056,502,4,0.49,0,5,0.85
1,39033,480,2,0.37,1,1,0.7
2,68910,509,4,0.27,1,3,0.71
4,53134,484,2,0.71,0,2,0.77
5,60659,494,3,0.61,0,4,0.99
5,37385,489,2,0.25,0,5,0.85
5,33309,504,3,0.66,0,3,0.91
2,45869,485,3,0.78,0,5,0.68
4,60049,487,4,0.64,1,1,0.81
3,38835,482,3,0.45,0,5,0.83
1,61556,487,2,0.61,0,4,0.51
1,31425,497,2,0.59,1,4,0.59
4,34119,485,4,0.6,0,1,0.51
3,77937,488,4,0.48,1,1,0.74
4,34853,491,4,0.67,1,4,0.94
1,70440,491,2,0.27,1,5,0.87
3,41444,492,4,0.58,0,4,0.64
1,55804,492,3,0.4,1,3,0.55
1,52263,509,3,0.5,0,2,0.44
4,30215,501,3,0.31,0,5,0.8
2,52970,499,4,0.57,1,5,0.78
4,79972,485,4,0.78,0,2,0.72
1,26384,492,4,0.76,1,1,0.58
2,23850,486,3,0.59,0,4,0.5
3,57824,490,3,0.62,0,1,0.52
5,43873,486,4,0.3,1,4,1.0
3,28970,488,2,0.33,1,3,0.88
1,23153,493,3,0.41,0,1,0.4
4,79422,494,4,0.36,0,5,0.91
4,20375,487,3,0.74,0,4,0.82
3,65734,505,4,0.33,0,3,0.66
5,66438,481,4,0.35,0,1,0.89
3,32381,509,2,0.66,1,1,0.64
5,73213,481,4,0.68,1,1,0.94
2,32121,481,4,0.64,1,2,0.61
1,32540,494,2,0.43,1,5,0.72
2,41632,495,4,0.6,0,3,0.43
4,21716,489,4,0.63,0,1,0.44
4,25783,494,3,0.51,0,1,0.5
2,47311,483,4,0.65,0,2,0.49
3,39660,507,4,0.46,0,1,0.48
4,42813,507,2,0.5,0,2,0.74
2,69893,483,3,0.66,0,3,0.57
3,39161,487,3,0.29,1,3,0.94
2,37460,488,3,0.68,0,3,0.38
1,32032,489,2,0.47,0,2,0.42
3,73444,502,3,0.63,0,1,0.54
1,38482,489,3,0.65,1,5,0.56
5,66156,497,4,0.73,0,1,0.71
1,20330,494,3,0.57,0,5,0.36
4,39617,492,4,0.67,0,4,0.78
1,32417,492,2,0.67,0,3,0.39
2,76730,485,2,0.75,0,3,0.58
2,31312,495,3,0.32,1,4,0.74
4,50375,503,2,0.56,0,2,0.69
2,42057,486,3,0.79,1,2,0.59
5,41280,499,2,0.72,0,5,0.74
1,66882,506,4,0.42,0,1,0.47
4,31659,485,2,0.75,1,2,0.83
4,72634,484,4,0.39,0,3,0.92
2,44276,481,2,0.3,0,3,0.58
3,70088,490,4,0.34,0,3,0.74
2,65861,486,4,0.41,0,1,0.58
4,56428,482,2,0.55,1,1,0.87
3,35707,481,2,0.42,0,2,0.6
2,74147,505,2,0.7,0,5,0.71
2,33860,483,3,0.65,0,2,0.39
5,49432,494,3,0.26,0,3,0.97
5,47811,482,4,0.33,1,1,0.95
3,33355,509,2,0.75,0,4,0.63
4,32807,489,3,0.27,1,3,0.96
2,71913,490,2,0.74,0,5,0.75
4,61568,495,3,0.3,0,3,0.84
3,31757,499,2,0.71,1,2,0.74
1,33139,507,4,0.74,0,4,0.17
1,74772,481,4,0.48,1,4,0.66
5,49384,503,4,0.73,0,4,0.85
2,42307,489,4,0.69,1,4,0.63
4,79357,510,2,0.54,0,2,0.92
2,39846,497,3,0.53,1,4,0.73
2,61842,490,4,0.52,0,1,0.58
5,62406,480,3,0.34,0,1,0.97
5,43889,494,2,0.77,0,2,0.86
2,56062,491,3,0.71,0,1,0.54
1,76558,504,2,0.44,0,5,0.68
3,20140,490,2,0.55,0,4,0.75
4,76137,509,3,0.33,1,5,0.99
5,54051,481,3,0.43,0,4,0.98
1,32056,489,4,0.75,0,4,0.24
3,67248,491,3,0.51,0,1,0.63
1,43754,490,3,0.76,1,4,0.47
4,47788,508,2,0.66,0,3,0.92
3,28640,501,4,0.44,1,2,0.61
3,40198,488,3,0.54,1,1,0.81
4,45915,506,4,0.6,0,3,0.69
1,53606,501,4,0.55,1,1,0.7
3,23874,490,4,0.61,0,4,0.58
2,76542,500,2,0.28,0,5,0.8
1,29334,493,2,0.78,0,5,0.38
3,52457,494,2,0.59,1,1,0.74
3,42295,508,2,0.79,1,4,0.86
1,73883,496,3,0.4,1,3,0.77
2,22860,497,4,0.31,1,5,0.72
3,49298,506,4,0.38,0,5,0.65
1,24284,507,3,0.7,1,5,0.54
2,68252,494,2,0.33,0,2,0.66
1,49155,506,2,0.68,0,1,0.44
2,67119,498,3,0.65,1,4,0.77
4,29710,485,4,0.59,0,4,0.72
1,46593,487,2,0.8,0,3,0.42
2,40040,491,2,0.31,1,3,0.84
2,26216,484,4,0.46,1,3,0.64
5,28473,507,2,0.4,1,2,0.96
1,56703,496,3,0.62,1,2,0.62
1,42795,505,2,0.63,0,2,0.38
4,75330,493,4,0.64,0,5,0.82
2,78936,487,3,0.4,0,3,0.6
1,65938,497,4,0.59,1,5,0.7
2,66530,506,3,0.53,1,2,0.63
4,65534,504,2,0.65,1,1,0.9
2,72762,506,4,0.74,0,2,0.44
5,35457,492,2,0.45,0,5,0.82
3,41643,508,3,0.62,1,1,0.69
5,36490,484,4,0.67,0,4,0.78
2,23176,495,3,0.28,1,5,0.8
2,54841,499,2,0.44,0,3,0.59
3,49483,500,4,0.49,1,5,0.98
2,55968,481,4,0.72,0,2,0.4
3,23486,481,3,0.65,0,5,0.68
4,49947,481,4,0.66,0,5,0.8
1,33416,500,3,0.3,0,4,0.32
2,47709,481,4,0.68,1,2,0.57
5,26010,494,2,0.52,1,5,0.93
5,37433,495,4,0.32,0,3,0.86
2,57990,483,4,0.66,1,5,0.81
3,68104,486,3,0.69,0,3,0.74
1,70053,500,3,0.46,1,2,0.69
3,53036,490,2,0.3,1,1,0.77
1,60609,506,4,0.31,0,1,0.49
1,42442,488,2,0.32,0,5,0.58
3,65677,508,4,0.34,1,1,0.76
1,28476,497,3,0.62,0,4,0.22
3,51809,494,2,0.74,0,5,0.89
3,50783,490,4,0.68,1,4,0.89
1,27236,484,4,0.36,0,5,0.49
3,55514,489,3,0.8,0,5,0.8
1,75519,484,4,0.64,1,2,0.7
3,37729,493,3,0.3,0,5,0.79
2,63390,492,4,0.78,1,4,0.66
2,46711,482,2,0.34,1,3,0.78
2,32781,486,2,0.25,0,1,0.58
1,48307,501,2,0.38,0,4,0.42
1,75468,499,4,0.54,1,5,0.67
1,20031,502,4,0.43,1,1,0.53
1,42378,503,3,0.3,0,3,0.34
1,47828,509,4,0.47,1,1,0.63
2,53520,489,2,0.57,0,4,0.6
2,29006,497,3,0.77,0,2,0.26
1,45135,493,2,0.37,0,4,0.4
1,46061,481,3,0.62,1,1,0.68
4,27770,492,3,0.33,1,2,0.84
2,30691,500,4,0.77,1,2,0.39
3,52807,483,4,0.3,0,5,0.8
2,29785,495,3,0.64,0,2,0.3
1,54568,505,3,0.34,0,2,0.36
2,38008,487,2,0.49,1,1,0.78
1,55770,503,3,0.53,0,3,0.34
1,55149,502,2,0.73,1,3,0.62
3,25891,508,3,0.42,0,4,0.62
1,60338,502,4,0.43,1,2,0.55
1,65494,492,3,0.3,0,3,0.5
3,56675,492,3,0.47,1,2,0.76
2,56601,494,2,0.62,0,3,0.51
3,43705,500,3,0.7,0,1,0.52
2,29893,509,2,0.67,1,5,0.83
3,58456,485,2,0.35,1,3,1.0
2,41122,505,3,0.38,0,5,0.67
2,42661,497,4,0.47,1,3,0.52
4,30604,480,3,0.75,1,2,0.82
1,69080,491,2,0.66,1,1,0.83
5,34271,482,4,0.44,1,5,0.96
3,67280,485,2,0.35,1,5,1.0
5,55890,504,3,0.79,0,2,0.78
2,44521,491,3,0.74,0,5,0.54
5,76921,503,2,0.59,0,5,0.86
5,20305,480,2,0.6,0,3,0.93
5,29325,483,2,0.39,0,1,0.78
4,35805,505,2,0.36,0,2,0.65
4,49378,508,2,0.43,1,1,0.82
4,69219,500,2,0.75,1,2,0.89
5,27934,480,2,0.36,0,3,1.0
2,58108,494,4,0.55,0,5,0.66
3,56979,481,4,0.57,1,1,0.73
2,69183,493,4,0.43,0,3,0.61
5,22520,506,2,0.72,0,3,0.92
2,21295,484,3,0.45,1,4,0.65
1,65344,503,4,0.71,1,4,0.46
2,67533,480,3,0.78,1,3,0.72
5,68747,494,2,0.57,0,1,0.88
4,21228,503,4,0.31,1,1,0.66
2,40738,489,2,0.53,0,2,0.37
3,76764,495,3,0.38,0,3,0.78
5,55468,503,4,0.64,1,5,1.0
4,57501,491,3,0.43,1,2,0.92
4,44231,486,3,0.75,0,5,0.88
4,23592,504,3,0.7,0,3,0.67
2,51119,480,3,0.79,0,2,0.51
3,76893,496,2,0.69,0,2,0.62
4,77129,498,4,0.28,0,4,0.86
4,27945,487,3,0.37,1,1,0.87
5,32315,488,2,0.54,1,1,0.94
3,48610,508,2,0.4,0,5,0.84
1,47256,508,2,0.28,0,1,0.68
5,47624,501,4,0.6,0,3,0.91
2,35950,498,2,0.41,0,1,0.57
3,33123,480,3,0.72,0,4,0.77
3,29888,494,4,0.72,1,1,0.61
2,43115,489,4,0.54,1,4,0.62
1,63090,507,4,0.31,1,4,0.61
4,40559,491,3,0.68,0,1,0.6
3,48148,484,4,0.75,0,1,0.41
5,52374,494,4,0.66,1,1,0.87
4,39483,509,4,0.55,1,1,0.65
3,26599,491,4,0.39,0,4,0.7
4,30417,505,3,0.74,0,4,0.77
1,49033,496,3,0.73,1,1,0.64
5,47365,510,4,0.38,1,4,1.0
4,42539,500,2,0.63,0,3,0.74
2,36362,497,2,0.76,1,5,0.82
2,23519,485,2,0.63,1,4,0.81
4,46068,481,2,0.8,0,1,0.75
2,27429,509,2,0.37,1,5,0.82
4,63618,498,4,0.4,1,2,0.88
2,75762,484,3,0.53,0,1,0.55
3,70274,481,3,0.47,1,3,0.89
4,41274,481,3,0.6,0,5,0.79
5,51377,491,4,0.72,0,2,0.7
2,45873,489,2,0.7,0,2,0.41
4,35399,492,3,0.56,1,3,1.0
1,57833,496,2,0.6,1,1,0.69
1,20641,496,2,0.65,1,1,0.54
4,29037,506,4,0.48,0,5,0.66
1,45072,500,2,0.77,1,4,0.57
3,53684,483,2,0.38,0,4,0.89
1,22272,482,3,0.43,1,4,0.53
2,68614,489,3,0.36,0,3,0.57
1,25855,503,2,0.65,0,4,0.4
4,56755,507,3,0.35,1,1,0.86
3,50865,510,2,0.29,0,4,0.8
3,28865,497,3,0.46,1,2,0.75
4,67741,501,2,0.6,0,2,0.77
4,75942,486,4,0.41,0,1,0.79
1,75874,489,3,0.76,1,3,0.69
5,20471,484,2,0.29,0,5,0.87
1,48567,492,4,0.56,0,5,0.33
3,50742,484,4,0.46,0,5,0.81
5,61914,496,2,0.74,0,4,0.88
3,53451,483,4,0.77,1,4,0.94
1,48914,506,4,0.48,0,3,0.21
1,59286,501,3,0.57,1,1,0.72
3,45478,490,2,0.47,0,1,0.6
3,24909,503,4,0.45,0,3,0.56
5,67935,503,3,0.43,0,1,0.82
3,23988,482,3,0.33,1,3,0.78
3,57982,480,2,0.74,0,2,0.59
1,20252,491,3,0.57,0,5,0.3
3,74656,491,2,0.63,1,2,0.87
3,32144,481,2,0.43,0,1,0.51
2,33907,498,3,0.74,1,3,0.51
3,77223,487,2,0.3,0,2,0.72
2,20876,491,3,0.56,0,1,0.41
1,57007,502,4,0.4,0,2,0.42
5,33890,485,3,0.76,1,5,0.94
2,79554,506,4,0.43,0,5,0.71
5,62455,485,4,0.48,1,1,0.98
4,57528,492,3,0.57,0,5,0.93
2,42444,501,2,0.59,1,3,0.58
2,79720,488,3,0.28,0,5,0.74
5,24402,501,3,0.41,0,2,0.83
3,51910,483,3,0.55,1,1,0.84
2,31459,493,4,0.36,0,4,0.54
5,71884,501,4,0.75,1,5,1.0
1,62790,487,4,0.28,0,2,0.51
1,47595,485,3,0.76,1,3,0.56
1,62069,492,4,0.43,1,5,0.65
3,47898,504,3,0.52,0,1,0.45
4,67027,490,3,0.76,1,2,0.98
2,33226,504,2,0.37,1,2,0.66
4,36537,501,4,0.49,0,4,0.73
1,64031,487,4,0.3,0,3,0.42
4,70775,507,4,0.32,0,4,0.86
1,78240,507,4,0.55,1,3,0.59
2,38074,494,3,0.28,0,3,0.48
2,43620,495,2,0.37,0,1,0.59
4,28494,482,2,0.38,1,1,0.82
1,59834,500,3,0.71,1,5,0.64
1,29905,491,4,0.28,0,4,0.34
1,62021,481,2,0.28,1,4,0.82
3,57713,490,4,0.73,1,5,0.99
5,26219,491,4,0.47,1,4,0.94
4,22573,488,4,0.49,0,3,0.7
1,46164,492,3,0.76,0,5,0.4
1,74854,495,2,0.57,1,4,0.64
1,24565,509,4,0.26,0,4,0.25
1,77602,500,4,0.41,0,2,0.52
2,36245,506,4,0.33,1,3,0.6
3,22412,508,2,0.78,0,1,0.37
5,40213,497,4,0.36,0,2,0.87
4,65370,487,4,0.68,1,1,0.83
5,33774,509,4,0.3,0,5,0.73
4,72228,485,2,0.66,0,1,0.84
3,52185,499,2,0.74,0,1,0.55
4,42398,491,4,0.28,0,3,0.76
4,28263,483,2,0.52,1,4,1.0
3,34026,481,4,0.59,1,5,0.93
2,60911,492,2,0.72,0,1,0.65
1,70525,497,2,0.34,1,4,0.69
4,41127,486,2,0.38,0,3,0.99
3,51884,480,4,0.29,0,5,0.84
3,21178,506,2,0.58,0,1,0.48
2,64918,496,4,0.63,0,5,0.65
3,32459,499,2,0.47,1,3,0.82
1,43868,493,3,0.6,0,3,0.34
2,70393,497,4,0.67,1,2,0.55
4,45575,495,3,0.59,1,1,0.78
3,75205,480,2,0.26,1,2,0.92
4,25471,510,3,0.75,1,1,0.65
5,34678,487,4,0.54,0,4,0.88
1,52047,499,3,0.79,0,1,0.45
3,54103,488,4,0.6,0,1,0.54
1,56221,480,4,0.7,1,2,0.58
1,38469,484,3,0.48,0,1,0.51
3,67695,494,2,0.48,0,1,0.72
3,28771,487,3,0.8,1,5,0.95
3,24917,499,2,0.27,0,4,0.75
3,34636,489,4,0.35,0,1,0.48
2,32248,505,3,0.71,1,5,0.75
1,51901,484,3,0.46,0,4,0.47
2,67151,508,3,0.74,0,4,0.54
5,34879,491,3,0.73,0,4,0.74
4,24602,482,4,0.48,1,1,0.7
5,43801,498,3,0.36,0,5,0.85
1,52649,505,3,0.38,0,3,0.37
3,55903,494,4,0.29,1,3,0.84
1,69651,506,2,0.51,1,3,0.62
1,27596,509,4,0.45,1,4,0.41
1,57616,494,2,0.63,0,5,0.54
2,64502,485,2,0.32,0,1,0.77
2,62131,504,2,0.27,1,5,0.94
4,36761,496,4,0.27,0,5,0.87
5,74703,484,4,0.57,0,2,0.91
1,26106,499,2,0.42,0,5,0.41
2,50559,506,3,0.69,1,4,0.76
3,21533,486,3,0.63,0,5,0.6
3,60051,480,2,0.34,0,3,0.75
2,33404,491,2,0.46,0,2,0.49
4,71693,510,3,0.33,0,5,0.92
1,50672,501,3,0.6,1,5,0.58
1,54509,505,2,0.62,0,3,0.32
2,41135,504,2,0.54,0,4,0.59
3,49838,488,4,0.29,1,3,0.91
3,22046,498,4,0.45,0,3,0.49
5,59548,498,4,0.27,1,4,1.0
1,79355,508,2,0.68,1,1,0.76
2,38990,499,2,0.68,0,4,0.53
5,34792,503,3,0.58,0,5,0.75
2,38250,509,2,0.39,1,1,0.72
1,46144,492,3,0.32,1,4,0.67
3,20674,488,3,0.8,1,5,0.84
2,38946,503,2,0.75,0,4,0.49
4,25386,506,4,0.76,0,2,0.51
4,53232,501,3,0.3,0,4,0.85
4,75807,507,4,0.63,1,3,0.96
2,38277,509,4,0.65,1,3,0.52
5,48549,490,3,0.29,0,2,0.98
1,26892,483,3,0.31,0,5,0.39
5,20695,505,4,0.73,0,4,0.66
3,33648,507,3,0.39,1,4,0.94
4,49355,497,3,0.58,1,4,0.96
1,27761,500,2,0.36,1,5,0.61
1,53786,488,3,0.56,0,2,0.44
1,33528,503,3,0.28,0,5,0.42
5,24559,505,4,0.38,1,5,0.96
4,78767,493,3,0.26,1,1,1.0
2,47338,502,4,0.78,1,2,0.58
4,64858,494,3,0.79,0,5,0.9
1,35293,499,3,0.62,1,5,0.62
3,44747,506,4,0.76,1,1,0.51
3,57675,508,3,0.35,1,2,0.79
1,36637,498,4,0.54,1,2,0.5
4,38988,499,4,0.6,0,4,0.79
5,40265,499,4,0.76,1,5,0.86
1,57828,499,3,0.4,1,2,0.67
1,31521,508,2,0.78,1,3,0.54
5,51942,510,3,0.45,0,4,0.96
2,46320,485,2,0.66,0,4,0.56
3,67024,495,3,0.56,1,1,0.84
1,23601,497,3,0.71,1,1,0.62
2,51803,480,4,0.79,0,3,0.47
1,67168,490,4,0.62,0,1,0.59
1,34754,492,2,0.61,1,5,0.71
1,74025,508,3,0.35,1,1,0.85
3,32648,489,4,0.62,0,3,0.46
3,62649,492,3,0.32,1,1,0.83
3,42112,506,3,0.48,1,5,1.0
4,71541,493,4,0.61,1,1,0.84
1,47057,487,2,0.64,1,3,0.64
4,75726,506,3,0.27,0,3,0.89
3,74847,510,4,0.25,0,2,0.64
2,78848,508,3,0.62,1,4,0.8
2,46583,508,4,0.78,1,4,0.6
2,78939,485,4,0.49,0,2,0.57
4,66911,489,3,0.6,1,4,1.0
5,54441,489,4,0.25,0,5,0.88
2,77035,480,4,0.41,0,2,0.62
5,28973,499,2,0.77,0,1,0.69
1,48830,487,3,0.44,1,4,0.63
3,41825,498,3,0.3,1,5,0.98
3,48772,510,2,0.53,0,2,0.49
5,30584,490,4,0.58,1,5,0.97
5,32461,508,3,0.51,1,4,0.98
3,44908,482,4,0.5,0,2,0.58
4,51329,487,2,0.73,0,1,0.71
1,31058,501,2,0.71,0,5,0.43
3,56204,490,4,0.69,1,5,0.95
2,45680,481,4,0.28,0,4,0.64
5,72302,481,4,0.74,0,1,0.79
2,77783,492,3,0.44,0,4,0.67
3,35268,496,4,0.5,0,4,0.57
2,25402,480,3,0.46,0,1,0.54
3,39697,492,3,0.6,1,1,0.71
4,38979,493,3,0.72,1,4,1.0
2,72569,481,2,0.46,0,5,0.88
3,48373,485,3,0.69,1,2,0.65
2,67499,510,2,0.27,0,2,0.56
1,59297,503,2,0.61,1,2,0.72
3,51421,484,2,0.77,1,3,0.83
5,63076,502,4,0.5,1,1,1.0
1,38678,483,3,0.65,0,5,0.54
3,44630,506,3,0.41,0,1,0.53
1,45521,505,3,0.28,1,5,0.64
2,23556,497,4,0.53,0,5,0.45
2,38546,490,3,0.29,0,1,0.53
1,51874,510,4,0.36,1,1,0.59
3,37243,486,2,0.5,1,3,0.86
5,41291,499,2,0.8,1,2,1.0
4,58148,510,4,0.32,1,5,1.0
5,66796,494,3,0.78,1,5,1.0
3,54383,489,4,0.41,0,2,0.53
3,27765,505,2,0.79,0,5,0.71
2,45187,508,2,0.43,0,1,0.62
4,48288,506,2,0.35,0,3,0.85
2,20084,500,3,0.62,1,1,0.53
1,64084,482,2,0.52,0,3,0.51
1,38569,481,3,0.57,1,4,0.58
4,66039,498,4,0.72,0,1,0.51
4,35089,503,2,0.68,0,1,0.58
3,53587,500,2,0.32,1,3,0.86
4,25012,504,4,0.79,1,2,0.62
3,27488,489,2,0.74,1,5,0.81
2,55994,500,4,0.69,0,5,0.57
1,31311,496,2,0.25,1,4,0.7
1,48592,503,4,0.67,1,3,0.48
1,37671,501,3,0.42,0,4,0.32
4,73766,485,4,0.47,1,1,0.95
5,52400,507,2,0.61,1,1,0.93
3,46891,505,4,0.34,1,4,0.92
2,30814,499,2,0.74,0,5,0.58
4,32682,509,4,0.29,1,2,0.78
1,71005,506,4,0.27,1,5,0.69
3,46831,494,3,0.66,0,3,0.63
3,33012,481,4,0.66,0,2,0.44
3,49965,505,3,0.35,1,4,0.93
5,70502,491,3,0.7,0,1,0.78
3,41770,507,4,0.31,1,4,0.86
1,22073,492,2,0.32,1,3,0.53
4,26301,489,2,0.77,0,1,0.51
1,57502,484,2,0.56,1,5,0.76
2,73665,507,4,0.38,1,2,0.73
5,39982,484,3,0.52,0,2,0.94
5,27775,488,2,0.65,0,3,0.95
2,73760,483,3,0.71,0,2,0.55
4,41505,490,4,0.29,0,5,0.86
2,42228,498,4,0.66,1,3,0.55
4,34584,492,4,0.55,1,1,0.68
5,35091,508,3,0.26,0,4,0.87
1,62160,496,4,0.77,0,5,0.29
3,69059,503,4,0.39,0,2,0.5
5,33621,510,3,0.51,0,5,0.79
1,66044,481,3,0.29,0,3,0.6
2,39693,500,3,0.5,0,3,0.39
4,45882,492,3,0.66,0,2,0.72
1,58812,500,4,0.74,1,1,0.54
5,53759,487,3,0.72,1,4,1.0
3,24328,509,2,0.58,0,3,0.46
5,54919,509,2,0.43,0,5,0.9
2,53653,499,2,0.28,1,2,0.73
3,24575,488,2,0.66,0,3,0.61
1,74339,500,2,0.32,0,4,0.48
3,33096,485,4,0.36,0,1,0.53
2,22529,500,3,0.66,1,1,0.55
3,57156,487,2,0.61,0,4,0.88
4,35089,503,3,0.31,0,4,0.82
1,58413,490,4,0.6,0,2,0.46
1,60338,501,2,0.8,1,1,0.8
2,66614,480,2,0.53,0,3,0.66
3,69585,491,3,0.33,1,2,0.8
3,37441,508,3,0.5,0,5,0.73
2,73627,504,4,0.68,1,3,0.64
1,58642,486,2,0.46,0,2,0.6
1,32269,481,3,0.51,0,5,0.45
4,39452,508,2,0.66,1,2,0.87
2,43194,506,2,0.72,0,1,0.43
2,71705,481,2,0.67,1,4,0.98
1,35017,504,2,0.31,1,3,0.59
5,42639,505,2,0.56,0,1,0.73
2,58628,486,2,0.38,1,3,0.86
4,27245,481,3,0.31,0,1,0.62
5,33459,490,2,0.32,0,1,0.86
1,44240,485,3,0.78,0,2,0.34
2,45209,509,4,0.59,0,5,0.53
3,24472,509,4,0.35,1,3,0.74
3,34579,494,2,0.64,1,2,0.77
3,35123,481,4,0.35,1,2,0.68
5,44546,485,2,0.37,1,1,1.0
2,75612,492,4,0.79,0,3,0.52
3,54177,491,3,0.47,0,4,0.74
1,67371,503,4,0.4,1,3,0.61
2,26786,497,2,0.73,0,3,0.42
5,66266,504,2,0.54,0,2,0.96
5,41257,481,4,0.43,0,1,0.85
3,55005,496,3,0.33,0,1,0.64
2,79855,487,4,0.37,0,5,0.73
2,47955,510,2,0.53,1,2,0.62
2,59989,484,3,0.55,1,4,0.83
4,35436,510,4,0.76,0,3,0.68
4,24575,501,4,0.36,1,1,0.74
3,35380,497,3,0.69,1,3,0.72
4,42294,503,3,0.37,1,1,0.76
5,61714,509,2,0.51,0,2,0.98
2,60173,502,2,0.56,1,3,0.69
1,45968,504,4,0.76,1,1,0.56
3,77830,499,4,0.77,0,4,0.78
1,61056,485,4,0.64,0,2,0.48
4,69035,508,4,0.53,1,2,0.87
2,62360,508,2,0.33,1,1,0.78
4,30911,481,2,0.73,1,2,0.92
5,68778,490,3,0.34,0,1,0.96
3,44601,497,4,0.25,1,2,0.66
1,43284,510,4,0.6,1,4,0.43
3,78750,485,3,0.65,1,2,0.87
